id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugx2PW9lpZNkCCIDVml4AaABAg.8cfJQSCu7-U8cgibbdmZS4		0	2018-02-15 16:18:56	Bruno Casado	LOVE ONE ANOTHER PEACE, LOVE, UNITY, PROSPERITY, CALM, WISDOM, FORGIVE, RESPECT, HONESTY, TOLERANCE, GOOD HEALTH, LIBERTY, CLEAN ENERGY, SELF CONTROL, EQUALITY, INCLUSION, PARDON, PATIENCE, JOY, STAY SAFE, WELL-BEING, KINDNESS, HARMONY, SOBRIETY, BONANZA, COMPASSION, CLEAN WATER, FOOD, NATURAL WEATHER, HAPPINESS, FAITH, GRATITUDE	UCNK_rQPSdylmAgjBBj91JSw	http://www.youtube.com/channel/UCNK_rQPSdylmAgjBBj91JSw	1	Ugx2PW9lpZNkCCIDVml4AaABAg	Djdee duenas
Ugx2PW9lpZNkCCIDVml4AaABAg.8cfJQSCu7-U8cfSL9QWoqe		0	2018-02-15 04:28:45	Rayna Sanderson	Omfg I love you people!	UCsVoXLjV06I1zgoHr8nv9rA	http://www.youtube.com/channel/UCsVoXLjV06I1zgoHr8nv9rA	1	Ugx2PW9lpZNkCCIDVml4AaABAg	Djdee duenas
Ugx2PW9lpZNkCCIDVml4AaABAg.8cfJQSCu7-U8cfR83_8g89		0	2018-02-15 04:18:14	John Ashonburg	That song actually popped in my head	UCjXDngfUvtxCGnkUo35LP0g	http://www.youtube.com/channel/UCjXDngfUvtxCGnkUo35LP0g	1	Ugx2PW9lpZNkCCIDVml4AaABAg	Djdee duenas
Ugx2PW9lpZNkCCIDVml4AaABAg.8cfJQSCu7-U8cfLjInR4gD		0	2018-02-15 03:31:01	SpaceStation Near you	Djdee duenas lmfao	UCG2WtPWzWegg5n5LjRKsKlw	http://www.youtube.com/channel/UCG2WtPWzWegg5n5LjRKsKlw	1	Ugx2PW9lpZNkCCIDVml4AaABAg	Djdee duenas
Ugy72xsFbIdDy0rDk-V4AaABAg	1	0	2018-02-15 03:10:39	Kill Zone	Anyone was there?	UCvTn5eiOrQtKzH7trLBvI-Q	http://www.youtube.com/channel/UCvTn5eiOrQtKzH7trLBvI-Q	0		
Ugy72xsFbIdDy0rDk-V4AaABAg.8cfJP63cAyw8cfJkMUpbN-		0	2018-02-15 03:13:41	Globoy Baby	Kill Zone me	UCvRHzAA0IAaH6IefUEvtqdg	http://www.youtube.com/channel/UCvRHzAA0IAaH6IefUEvtqdg	1	Ugy72xsFbIdDy0rDk-V4AaABAg	Kill Zone
Ugwjuv7dhv2PMQJ2pRF4AaABAg	0	3	2018-02-15 03:10:30	Vernon Laux	More violence will happen and it will get worse every day, democRATs become more and more mentally unstable every day Trump is president.	UCw6sBSuVSU8-IlWlhy98jmg	http://www.youtube.com/channel/UCw6sBSuVSU8-IlWlhy98jmg	0		
Ugy-J2vr0Wkx9-GZG814AaABAg	0	0	2018-02-15 03:10:20	Aidan O'Keeffe	Fuck Fox News and every Republican alive. Y’all are some insecure fags.	UC4xeBmwuCaHVcGc61zWbKvw	http://www.youtube.com/channel/UC4xeBmwuCaHVcGc61zWbKvw	0		
UgznvtTQ7uANjryz6Ed4AaABAg	0	1	2018-02-15 03:10:13	Exodus fivesixfivesix	Wtf is wrong with parents. They can’t seem to raise their children on the straight and narrow?	UCtL-nUdgmDCH2Pg2kqwMu8w	http://www.youtube.com/channel/UCtL-nUdgmDCH2Pg2kqwMu8w	0		
UgwH8gNVJc_HAbRF2i94AaABAg	0	0	2018-02-15 03:09:43	WiRE Coaching	Just a tragic situation	UCXgCzg2EeWZMonRpdDLI2VQ	http://www.youtube.com/channel/UCXgCzg2EeWZMonRpdDLI2VQ	0		
